timestamp,transaction_id,product_id,product_name,category,quantity,unit_price,total_amount,region,customer_id,payment_method,is_anomaly
2025-01-07T05:03:55,TXN-20260107195810364115-F14FDE,PROD-FOO-0008,Bottled Water,Food & Beverages,1,25.1,25.1,Europe,CUST-F0533CD5,Digital Wallet,False
2025-01-07T05:09:21,TXN-20260107195810075514-1E2230,PROD-CLO-0004,Sneakers,Clothing,2,53.03,106.06,Europe,CUST-33922141,Debit Card,False
2025-01-07T05:36:47,TXN-20260107195809138961-1BC2B6,PROD-FOO-0005,Snack Pack,Food & Beverages,1,23.95,23.95,Asia Pacific,CUST-98746B97,Bank Transfer,False
2025-01-07T07:21:59,TXN-20260107195809417538-FC6E61,PROD-FOO-0004,Energy Drink,Food & Beverages,1,16.83,16.83,Latin America,CUST-36D8080F,Digital Wallet,False
2025-01-07T09:56:48,TXN-20260107195809793420-2D9092,PROD-BOO-0009,Calendar,Books & Media,5,24.6,123.0,North America,CUST-F98A2D2C,Credit Card,False
2025-01-07T10:11:37,TXN-20260107195810732890-ED0E1B,PROD-SPO-0007,Tent,Sports & Outdoors,1,98.56,98.56,Europe,CUST-AF15C20C,Bank Transfer,False
2025-01-07T11:03:59,TXN-20260107195808788271-2A4718,PROD-HOM-0008,Rug,Home & Garden,3,126.29,378.87,Middle East & Africa,CUST-156C0AA5,Bank Transfer,False
2025-01-07T11:26:38,TXN-20260107195810132305-3E25E0,PROD-BOO-0001,Bestseller Novel,Books & Media,1,19.95,19.95,Europe,CUST-4C484F5C,Credit Card,False
2025-01-07T11:39:38,TXN-20260107195808862578-964CC6,PROD-SPO-0007,Tent,Sports & Outdoors,2,68.12,136.24,North America,CUST-722EF259,Debit Card,False
2025-01-07T11:43:19,TXN-20260107195810365723-464405,PROD-CLO-0004,Sneakers,Clothing,1,56.73,56.73,Europe,CUST-98745595,Credit Card,False
2025-01-07T14:57:05,TXN-20260107195808964332-55F965,PROD-FOO-0003,Protein Bar,Food & Beverages,1,34.38,34.38,Asia Pacific,CUST-06B66425,Digital Wallet,False
2025-01-07T15:08:31,TXN-20260107195808997703-095B29,PROD-CLO-0004,Sneakers,Clothing,1,85.18,85.18,Asia Pacific,CUST-D0D1615B,Bank Transfer,False
2025-01-07T15:13:08,TXN-20260107195809673820-D36BE3,PROD-ELE-0009,Monitor,Electronics,1,363.82,363.82,Europe,CUST-F5B74971,Debit Card,False
2025-01-07T15:33:23,TXN-20260107195809904979-61536C,PROD-BOO-0003,Cookbook,Books & Media,1,21.12,21.12,Europe,CUST-B7CE3117,Debit Card,False
2025-01-07T16:44:08,TXN-20260107195809601219-AEB550,PROD-HOM-0004,Wall Art,Home & Garden,4,87.34,349.36,Asia Pacific,CUST-5E7B19CD,Credit Card,False
2025-01-07T16:52:21,TXN-20260107195810640125-95A80F,PROD-FOO-0007,Vitamin Supplements,Food & Beverages,1,39.21,39.21,North America,CUST-346DB9A7,Bank Transfer,False
2025-01-07T17:10:44,TXN-20260107195809665953-29C30E,PROD-SPO-0009,Resistance Bands,Sports & Outdoors,1,100.11,100.11,Europe,CUST-3A37F76C,Digital Wallet,False
2025-01-07T18:14:38,TXN-20260107195809993145-6A203F,PROD-ELE-0010,Keyboard,Electronics,3,213.92,641.76,North America,CUST-E3426451,Debit Card,False
2025-01-07T18:36:33,TXN-20260107195809413274-73CC22,PROD-FOO-0002,Green Tea,Food & Beverages,1,20.34,20.34,North America,CUST-B7FB021D,Bank Transfer,False
2025-01-07T18:37:37,TXN-20260107195809825461-B5A020,PROD-FOO-0008,Bottled Water,Food & Beverages,2,20.12,40.24,Europe,CUST-3C1BDAD3,Digital Wallet,False
2025-01-07T18:50:00,TXN-20260107195810332718-5BB2FE,PROD-FOO-0009,Juice,Food & Beverages,1,26.4,26.4,North America,CUST-0A6C02CB,Digital Wallet,False
2025-01-07T19:00:24,TXN-20260107195810500726-3A2293,PROD-ELE-0010,Keyboard,Electronics,1,349.58,349.58,Latin America,CUST-EC7B359A,Bank Transfer,False
2025-01-07T19:16:52,TXN-20260107195809480333-73CA60,PROD-FOO-0007,Vitamin Supplements,Food & Beverages,1,28.33,28.33,Europe,CUST-A61E5684,PayPal,False
2025-01-07T19:50:25,TXN-20260107195810190223-1ADE06,PROD-ELE-0002,Smartphone,Electronics,2,198.48,396.96,Asia Pacific,CUST-D16AC70C,Digital Wallet,False
2025-01-07T21:14:33,TXN-20260107195809183908-92B9B8,PROD-ELE-0006,Bluetooth Speaker,Electronics,1,296.56,296.56,Latin America,CUST-4186A89E,Bank Transfer,False
2025-01-07T21:16:22,TXN-20260107195810746421-2E9288,PROD-ELE-0007,Camera,Electronics,1,324.37,324.37,Europe,CUST-F026D4E2,Debit Card,False
2025-01-07T21:59:40,TXN-20260107195810522267-1F8F0D,PROD-CLO-0001,T-Shirt,Clothing,2,41.52,83.04,Europe,CUST-14DC9D72,Credit Card,False
2025-01-07T22:01:54,TXN-20260107195809868651-2C1282,PROD-FOO-0005,Snack Pack,Food & Beverages,1,32.12,32.12,North America,CUST-72AE6FAE,PayPal,False
2025-01-07T23:04:06,TXN-20260107195809074699-CEA55E,PROD-ELE-0006,Bluetooth Speaker,Electronics,1,303.08,303.08,Latin America,CUST-D32B1502,Bank Transfer,False
2025-01-07T23:33:16,TXN-20260107195810563831-C7C2EB,PROD-SPO-0008,Bicycle Helmet,Sports & Outdoors,1,86.02,86.02,Europe,CUST-256BFEC9,PayPal,False
2025-01-07T23:56:32,TXN-20260107195810024885-873609,PROD-FOO-0005,Snack Pack,Food & Beverages,2,28.37,56.74,North America,CUST-C7A0422A,Digital Wallet,False
2025-01-08T00:20:29,TXN-20260107195809225517-5B8283,PROD-CLO-0002,Jeans,Clothing,1,73.39,73.39,Europe,CUST-39A3B792,Debit Card,False
2025-01-08T07:15:23,TXN-20260107195810474114-1525BD,PROD-FOO-0010,Nuts,Food & Beverages,1,22.35,22.35,Latin America,CUST-266D278A,Credit Card,False
2025-01-08T09:12:11,TXN-20260107195809749838-E6950A,PROD-HOM-0003,Throw Pillow,Home & Garden,1,116.01,116.01,North America,CUST-179F4AB8,Digital Wallet,False
2025-01-08T09:32:33,TXN-20260107195809048757-4B0160,PROD-CLO-0003,Jacket,Clothing,1,67.99,67.99,North America,CUST-AED602BB,PayPal,False
2025-01-08T09:59:54,TXN-20260107195809898652-632D25,PROD-ELE-0003,Laptop,Electronics,1,304.81,304.81,Europe,CUST-9B00DBDE,Debit Card,False
2025-01-08T11:07:35,TXN-20260107195808785291-E2D2D7,PROD-CLO-0006,Hoodie,Clothing,1,42.08,42.08,Europe,CUST-10076529,Bank Transfer,False
2025-01-08T13:53:37,TXN-20260107195809114769-F4C381,PROD-ELE-0005,Smart Watch,Electronics,4,369.18,1476.72,Latin America,CUST-8560F8FC,Credit Card,False
2025-01-08T13:54:37,TXN-20260107195809449053-97A136,PROD-SPO-0007,Tent,Sports & Outdoors,1,127.87,127.87,Latin America,CUST-7AEE6A69,PayPal,False
2025-01-08T13:56:38,TXN-20260107195809250503-967556,PROD-FOO-0005,Snack Pack,Food & Beverages,1,29.17,29.17,Europe,CUST-807FCFA0,Bank Transfer,False
2025-01-08T14:01:37,TXN-20260107195809004761-9DF90B,PROD-SPO-0002,Dumbbell Set,Sports & Outdoors,3,70.5,211.5,Europe,CUST-A0334989,Debit Card,False
2025-01-08T14:18:02,TXN-20260107195809252256-BD35BC,PROD-HOM-0008,Rug,Home & Garden,4,41.75,167.0,Asia Pacific,CUST-1F0A6A77,Bank Transfer,False
2025-01-08T16:40:33,TXN-20260107195810280518-3F07F0,PROD-SPO-0008,Bicycle Helmet,Sports & Outdoors,2,78.54,157.08,Latin America,CUST-0A89457A,PayPal,False
2025-01-08T16:41:01,TXN-20260107195810101704-38BE68,PROD-SPO-0002,Dumbbell Set,Sports & Outdoors,1,103.3,103.3,North America,CUST-E5D615E4,PayPal,False
2025-01-08T18:00:39,TXN-20260107195810405636-2A8CE5,PROD-CLO-0004,Sneakers,Clothing,2,64.25,128.5,Latin America,CUST-AB429E56,Bank Transfer,False
2025-01-08T18:33:59,TXN-20260107195810280006-14200C,PROD-FOO-0004,Energy Drink,Food & Beverages,1,21.32,21.32,Europe,CUST-F809DE71,Credit Card,False
2025-01-08T18:44:21,TXN-20260107195809164226-FEBFE3,PROD-BOO-0010,Educational Course,Books & Media,2,13.3,26.6,Asia Pacific,CUST-23A6D261,PayPal,False
2025-01-08T18:57:13,TXN-20260107195810499141-FB573D,PROD-ELE-0007,Camera,Electronics,1,45.22,45.22,Asia Pacific,CUST-2959A8C5,Debit Card,True
2025-01-08T19:13:35,TXN-20260107195809043863-AC0547,PROD-CLO-0006,Hoodie,Clothing,1,66.62,66.62,Latin America,CUST-237925AB,Credit Card,False
2025-01-08T19:33:17,TXN-20260107195810425466-0FF72B,PROD-ELE-0004,Tablet,Electronics,1,263.7,263.7,Europe,CUST-7DC5570A,Debit Card,False
2025-01-08T20:29:06,TXN-20260107195809387073-ACD71C,PROD-FOO-0005,Snack Pack,Food & Beverages,1,28.25,28.25,Europe,CUST-A48D081E,Debit Card,False
2025-01-08T21:11:41,TXN-20260107195809425597-A9EDA9,PROD-ELE-0007,Camera,Electronics,2,266.99,533.98,Asia Pacific,CUST-FB44563B,Debit Card,False
2025-01-08T21:12:24,TXN-20260107195810364879-525C0F,PROD-HOM-0004,Wall Art,Home & Garden,1,148.45,148.45,Latin America,CUST-A2A33B71,Debit Card,False
2025-01-08T22:30:08,TXN-20260107195809147289-6C6751,PROD-CLO-0001,T-Shirt,Clothing,3,62.04,186.12,Asia Pacific,CUST-0A6C02CB,Credit Card,False
2025-01-08T23:49:31,TXN-20260107195809376262-D198FF,PROD-ELE-0010,Keyboard,Electronics,1,292.43,292.43,Europe,CUST-7CB11A79,Bank Transfer,False
2025-01-09T04:49:09,TXN-20260107195810241871-642B72,PROD-ELE-0007,Camera,Electronics,2,330.07,660.14,North America,CUST-E138D075,Bank Transfer,False
2025-01-09T05:51:43,TXN-20260107195809881098-9140F7,PROD-CLO-0004,Sneakers,Clothing,2,55.75,111.5,Europe,CUST-14A81338,Bank Transfer,False
2025-01-09T06:06:42,TXN-20260107195809360855-B62F83,PROD-HOM-0005,Candle Set,Home & Garden,1,90.11,90.11,Europe,CUST-953E51D7,Debit Card,False
2025-01-09T07:02:43,TXN-20260107195810301390-02175A,PROD-CLO-0002,Jeans,Clothing,1,87.99,87.99,Asia Pacific,CUST-98B27060,Credit Card,False
2025-01-09T08:39:09,TXN-20260107195809461302-05F927,PROD-CLO-0009,Boots,Clothing,1,65.71,65.71,North America,CUST-0F74969A,Bank Transfer,False
2025-01-09T09:33:06,TXN-20260107195810117038-9E5B08,PROD-CLO-0001,T-Shirt,Clothing,3,31.79,95.37,Middle East & Africa,CUST-5D349774,Bank Transfer,False
2025-01-09T09:37:19,TXN-20260107195808859003-74E28E,PROD-SPO-0006,Backpack,Sports & Outdoors,1,79.94,79.94,Europe,CUST-15B73588,PayPal,False
2025-01-09T11:00:33,TXN-20260107195809004636-3D8A8C,PROD-ELE-0009,Monitor,Electronics,1,310.96,310.96,Europe,CUST-CE78C4AF,Credit Card,False
